Provincia;Municipio;;Localidad;Código postal;Dirección;Longitud;Latitud;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasóleo A;Precio gasóleo B;Precio gasóleo de uso marítimo;Precio gasolina 95 E25;Precio gasolina 95 E85;Precio AdBlue;Precio diesel renovable;Precio gasolina renovable	;Precio metanol	;Precio  amoniaco	;Precio BGNC	;Precio BGNL;Rótulo;Tipo venta;Rem.;Horario;;;
CORUÑA (A);MUXÍA;;MUXIA;15124;MUELLE PESQUERO, S/Nº;-9,214858;43,105804;;;;668,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);POBRA DO CARAMIÑAL (A);;POBRA DO CARAMIÑAL;15940;MUELLE COMERCIAL S/N;-8,935417;42,609083;1,469;;1,469;727,000;;;;;;;;;;;AVIA;Mixto;dm;L-D: 07:00-23:00;;;
CORUÑA (A);PORTO DO SON;;PORTO DO SON;15970;MUELLE PESQUERO, S/Nº;-9,003469;42,726638;;;;728,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);PORTO DO SON;;PORTOSIN;15999;MUELLE PESQUERO, S/Nº;-8,947358;42,760804;;;;668,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
CORUÑA (A);RIANXO;;RIANXO;15920;PORTO DE RIANXO, S/N;-8,822417;42,647389;1,549;;1,539;720,000;;;;;;;;;;;VALCARCE;Mixto;dm;L: 07:00-23:00;;;
CORUÑA (A);RIBEIRA;;SANTA UXIA DE RIBEIRA;15960;MUELLE PESQUERO, S/Nº;-8,989025;42,561360;;;;648,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);SADA;;SADA;15160;MUELLE PESQUERO, S/Nº;-8,246528;43,362750;1,556;;1,539;666,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
CORUÑA (A);SADA;;SADA;15160;AVENIDA DEL PUERTO, S/N;-8,248306;43,357556;1,560;;1,555;;;;;;;;;;;;SADAMAR - GALP;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIPUZKOA;GETARIA;;GETARIA;20808;MUELLE PESQUERO S/N;-2,127945;43,275584;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIPUZKOA;HONDARRIBIA;;HONDARRIBIA;20280;PASEO IRIBARREN, S/N;-1,790722;43,388361;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIPUZKOA;PASAIA;;PASAI DONIBANE;20110;MUELLE DONI-BANE S/N;-1,911389;43,322250;;;;651,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 08:00-13:00 y 15:00-17:00;;;
GIRONA;BLANES;;BLANES;17300;ESPLANADA DEL PORT S/N;2,797889;41,675083;1,659;;1,589;;;;;;;;;;;;CLUB VELA BLANES;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;ESCALA (L');;ESCALA (L');17130;PORT LA CLOTA S/N;3,126222;42,119194;1,599;;1,529;;;;;;;;;;;;CLUB NAUTIC L'ESCALA;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;PALAMÓS;;PALAMOS;17230;SALVADOR ALBERT I PEY S/N ;3,136500;41,846222;1,650;;1,570;;;;;;;;;;;;PORT ESPORTIU MARINA PALAMOS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;PALAMÓS;;PALAMOS;17230;MUELLE PESQUERO, S/N;3,125417;41,844667;;;;683,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIRONA;PORT DE LA SELVA (EL);;PORT DE LA SELVA (EL);17489;LLOIA S/N;;;1,679;;1,589;;;;;;;;;;;;NINGUNO;Suministro a barcos deportivos o de recreo;dm;L: 09:00-13:00 y 15:00-17:00;;;
GIRONA;ROSES;;ROSES;17480;ZONA DE DIC ABRIC - PUERTO DEPORTIVO DE ROSES;;;1,634;;1,629;;;;;;;;;;;;PETREM MAR;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;ROSES;;ROSES;17480;MUELLE PESQUERO, S/Nº;3,179420;42,252791;;;;677,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIRONA;SANT FELIU DE GUÍXOLS;;SANT FELIU DE GUIXOLS;17220;ZONA ESPORTIVA DEL PORT, S/Nº;3,030528;41,773889;1,600;;1,550;;;;;;;;;;;;CLUB NAUTIC SANT FELIU DE GUIXOLS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
GIRONA;SELVA DE MAR (LA);;SELVA DE MAR (LA) NUCLI;17489;MUELLE PESQUERO, S/Nº;3,200253;42,340846;;;;717,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
GIRONA;TORROELLA DE MONTGRÍ;;TORROELLA DE MONTGRI;17258;ESPLANA DEL PORT S/N L'ESTARTIT;3,203972;42,052278;;;;969,000;;;;;;;;;;;;Mixto;dm;X: 08:00-12:00; V: 08:00-12:00;;;
GIRONA;TORROELLA DE MONTGRÍ;;TORROELLA DE MONTGRI;17258;PASSEIG MARÍTIM, S/N;;;1,680;;1,604;;;;;;;;;;;;CLUB NAUTIC ESTARTIT;Suministro a barcos deportivos o de recreo;dm;L: 08:00-17:45;;;
GRANADA;ALMUÑÉCAR;;HERRADURA (LA);18697;TORRE DE CONTROL, PUERTO DEPORTIVO PUNTA DE LA MONA (MARINA DEL ESTE);-3,726417;36,727722;1,852;;1,804;;;;;;;;;;;;MARINA DEL MEDITERRANEO ESTE S.L.;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-19:00;;;
HUELVA;PUNTA UMBRÍA;;PUNTA UMBRIA;21100;MUELLE DEPORTIVO PUNTA UMBRIA, S/N - AVDA. LA RIA, S/N;-6,959417;37,181750;1,595;;1,585;;;;;;;;;;;;CEPSA;Suministro a barcos deportivos o de recreo;OM;L-V: 09:30-13:00 y 15:00-17:30; S: 09:30-13:00;;;
LUGO;BURELA;;BURELA;27880;MUELLE PESQUERO, S/Nº;-7,254818;43,660537;;;;629,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
LUGO;RIBADEO;;RIBADEO;27700;MUELLE PESQUERO, S/Nº;-7,038707;43,532759;;;;718,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
LUGO;VIVEIRO;;CELEIRO;27863;MUELLE PESQUERO, S/Nº;-7,595929;43,676370;;;;653,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
MÁLAGA;FUENGIROLA;;FUENGIROLA;29640;PUERTO PESQUERO-DEPORTIVO;-4,615750;36,542333;1,781;;1,736;717,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
MÁLAGA;MANILVA;;MANILVA;29691;PUERTO DEPORTIVO DE LA DUQUESA;;;1,832;;1,787;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
MÁLAGA;MARBELLA;;MARBELLA;29600;PUERTO DEPORTIVO MARBELLA;-4,889944;36,505833;1,649;;1,579;;;;;;;;;;;;ENERPUS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
MÁLAGA;VÉLEZ-MÁLAGA;;CALETA DE VELEZ;29751;PUERTO PESQUERO,S/Nº;-4,069361;36,747611;1,759;;1,724;707,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
MURCIA;ÁGUILAS;;AGUILAS;30880;MUELLE PESQUERO, S/N;-1,578720;37,402935;;;;702,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
MURCIA;CARTAGENA;;CARTAGENA;30202;MUELLE STA. LUCÍA, S/Nº;-0,975942;37,597657;;;;702,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
MURCIA;CARTAGENA;;CARTAGENA;30202;PASEO ALFONSO XII;-0,981722;37,596583;1,519;;1,489;;;;;;;;;;;;ROYMAGA PETROELOS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
MURCIA;CARTAGENA;;CABO DE PALOS;30370;MUELLE DE LA SAL, S/Nº;-0,698720;37,630712;;;;742,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
MURCIA;MAZARRÓN;;MAZARRON;30870;MUELLE PESQUERO, S/Nº;-1,255109;37,563768;;;;702,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
MURCIA;SAN JAVIER;;SAN JAVIER;30370;PUERTO TOMAS MAESTRE S/N;-0,743194;37,747639;1,650;;1,550;;;;;;;;;;;;PALUSOIL, S.L.U.;Mixto;dm;L: 08:30-18:30;;;
PALMAS (LAS);ARRECIFE;;ARRECIFE;35509;AV. OLOF PALME, S/N;-13,537917;28,965028;1,167;;1,177;;;;;;;;;;;;;Suministro a barcos deportivos o de recreo;dm;L: 08:15-19:30;;;
PALMAS (LAS);MOGÁN;;MOGAN;35140;DIQUE SUR. PUERTO DE MOGAN;-15,764056;27,815861;1,169;;1,159;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 09:00-13:00 y 15:00-17:50;;;
PALMAS (LAS);PÁJARA;;MORRO JABLE;35625;MUELLE DEPORTIVO S/N;-14,358750;28,048722;1,264;;1,149;;;;;;;;;;;;H2GO REPSOL MORRO JABLE;Mixto;dm;L-D: 08:00-20:00;;;
PALMAS (LAS);PUERTO DEL ROSARIO;;PUERTO DEL ROSARIO;35600;DARSENA PESQUERA S/N;-13,859889;28,495639;1,269;;;;;;;;1,149;;;;;;REPSOL MUELLE CHICO;Mixto;dm;L-D: 08:00-20:00;;;
PALMAS (LAS);SAN BARTOLOMÉ DE TIRAJANA;;SAN BARTOLOME TIRAJANA;35106;CARRETERA GC-500 S/N (ANTIGUA CTRA. C-812) URBANIZACION PASITO BLANCO (VARADERO);-15,621667;27,746944;1,239;;1,187;;;;;;;;;;;;DISA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00;;;
PALMAS (LAS);YAIZA;;YAIZA;35570;C/ EL BERRUGO, 2;-13,816639;28,857111;1,233;;1,244;;;;;;;;;;;;MARINA RUBICON;Suministro a barcos deportivos o de recreo;dm;L-D: 07:30-19:30;;;
PALMAS (LAS);YAIZA;;PUERTO CALERO;35570;LOS PANTALANES S/N;-13,705333;28,915833;1,139;;1,138;;;;;;;;;;;;MARINA PUERTO CALERO;Suministro a barcos deportivos o de recreo;dm;L-D: 08:15-19:45;;;
PONTEVEDRA;BUEU;;BUEU;36930;MUELLE PESQUERO, S/Nº;-8,785126;42,329376;;;1,539;684,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
PONTEVEDRA;CAMBADOS;;CAMBADOS;36630;MUELLE DE TRAGOVE, S/Nº;-8,828182;42,518542;;;;688,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
PONTEVEDRA;CANGAS;;CANGAS;36940;PUERTO DE CANGAS, S/N;-8,782528;42,260472;1,549;;1,519;699,000;;;;;;;;;;;COMBUSTIBLES PUERTO DE CANGAS;Mixto;dm;L-V: 08:30-14:00 y 16:00-18:00;;;
PONTEVEDRA;MOAÑA;;MOAÑA;36950;MUELLE PESQUERO, S/Nº;-8,735126;42,274931;;;;674,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
PONTEVEDRA;SANXENXO;;SANXENXO;36960;AVENIDA AUGUSTO GONZALEZ BESADA, S/N;-8,804015;42,395292;1,700;;1,730;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 10:00-13:30 y 16:00-19:00;;;
PONTEVEDRA;SANXENXO;;PORTONOVO;36970;MUELLE COMERCIAL, S/Nº;-8,817778;42,395833;;;1,539;688,000;;;;;;;;;;;REPSOL;Mixto;OM;L-D: 24H;;;
PONTEVEDRA;VIGO;;VIGO;36202;AVDA. DE BEIRAMAR, 61;-8,617904;42,296598;;;;590,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
PONTEVEDRA;VIGO;;VIGO;36208;MUELLE DE REPARACIONES DE BOUZAS S/N;-8,743111;42,230861;1,730;;1,660;;;;;;;;;;;;MARINA DAVILA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;;;
PONTEVEDRA;VIGO;;VIGO;36207;BAJADA A LA LAGOA S/N;-8,707083;42,256194;1,800;;1,700;;;;;;;;;;;;REPSOL;Mixto;dm;L: 09:00-20:00;;;
PONTEVEDRA;VILANOVA DE AROUSA;;VILANOVA DE AROUSA;36620;PUERTO DE VILANOVA S/N;-8,834611;42,564667;1,364;;1,284;799,000;;;;;;;;;;;CARBURANTES PORTO DE VILANOVA;Mixto;dm;L-V: 08:00-15:00; S: 09:00-14:00;;;
SANTA CRUZ DE TENERIFE;ADEJE;;ADEJE;38670;PUERTO DEPORTIVO PUERTO COLON, EDF.CAPITANIA 1ª PLANTA;-16,737889;28,079333;1,247;;1,217;;;;;;;;;;;;DISA;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-17:45;;;
SANTA CRUZ DE TENERIFE;ARONA;;ARONA;38649;MUELLE TRANSVERSAL DEL PUERTO DE LOS CRISTIANOS;-16,718694;28,047917;1,102;;1,164;;;;;;;;;;;;NAC MARINE FUEL ;Mixto;dm;L-S: 08:00-14:30;;;
SANTA CRUZ DE TENERIFE;SAN SEBASTIÁN DE LA GOMERA;;SAN SEBASTIAN DE LA GOMERA;38800;PUERTO DEPORTIVO, S/N;-17,107028;28,089583;1,489;;1,369;;;;;;;;;;;;DISA;Mixto;dm;L-D: 08:00-18:00;;;
SANTA CRUZ DE TENERIFE;SANTA CRUZ DE LA PALMA;;SANTA CRUZ DE LA PALMA;38700;DARSENA DE EMBARCACIONES MENORES PUERTO SANTA CRUZ DE LA PALMA;-17,767333;28,679083;1,408;;1,373;;;;;;;;;;;;SIN ROTULO;Suministro a barcos deportivos o de recreo;dm;L-S: 08:00-20:00; D: 08:00-15:30;;;
TARRAGONA;AMETLLA DE MAR (L');;AMETLLA DE MAR (L');43860;PORT CALAFAT;0,850278;40,927333;1,430;;1,350;;;;;;;;;;;;ALAS - PORT CALAFAT;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
TARRAGONA;CALAFELL;;SEGUR DE CALAFELL;43882;Pº MARITIMO S/N;1,607556;41,186083;1,548;;1,467;;;;;;;;;;;;PORT SEGUR CALAFELL, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;;;
TARRAGONA;CAMBRILS;;CAMBRILS;43850;PUERTO PESQUERO, S/Nº;1,061881;41,062750;;;;677,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
TARRAGONA;CAMBRILS;;CAMBRILS;43850;PASSEIG MIRAMAR, 44;1,060028;41,067139;1,582;;1,515;;;;;;;;;;;;CLUB NAUTIC CAMBRILS;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
TARRAGONA;DELTEBRE;;DELTEBRE;43580;ML PUERTO DELTEBRE;0,843167;40,717361;1,458;;1,359;;675,000;;;;;;;;;;CARBURANTS DEL MONTSIÀ;Mixto;dm;L-D: 24H;;;
TARRAGONA;SANT CARLES DE LA RÀPITA;;LA RÁPITA;43540;PUERTO, S/Nº;0,596881;40,613861;;;;677,000;;;;;;;;;;;REPSOL;Suministro a pesqueros;OM;L-D: 24H;;;
TARRAGONA;TORREDEMBARRA;;TORREDEMBARRA;43830;EDIFICIO CAPITANIA, S/N;;;1,564;;1,509;596,000;;;;;;;;;;;LIBRE;Mixto;dm;L-D: 09:00-14:00 y 16:00-19:00;;;
TARRAGONA;VANDELLÒS I L'HOSPITALET DE L'INFANT;;HOSPITALET DE L'INFANT;43890;MUELLE DR. CAPELLA S/N PUERTO DEPORTIVO;0,927694;40,988639;1,588;;1,515;;;;;;;;;;;;REPSOL;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-20:00;;;
VALENCIA / VALÈNCIA;OLIVA;;OLIVA;46780;ALFONSO EL MAGNANIMO, 41;-0,094694;38,931639;1,510;;1,470;;;;;;;;;;;;BP OIL;Suministro a barcos deportivos o de recreo;dm;L: 08:00-19:00;;;
VALENCIA / VALÈNCIA;POBLA DE FARNALS (LA);;POBLA DE FARNALS (LA);46137;PLAZA CORTES VALENCIANAS S/N;-0,284167;39,560333;1,665;;1,580;;;;;;;;;;;;POBLA MARINA;Suministro a barcos deportivos o de recreo;dm;L-D: 07:00-21:00;;;
VALENCIA / VALÈNCIA;VALENCIA;;VALENCIA;46024;DIQUE NORTE, BOCANA DARSENA INTERIOR ;-0,312278;39,461306;1,619;;;1079,000;1599,000;;;;;;;;;;REPSOL ;Suministro a barcos deportivos o de recreo;dm;L-D: 08:00-18:00;;;
VALENCIA / VALÈNCIA;VALENCIA;;VALENCIA;46024;CAMINO DE CANAL, 91 - CLUB NAUTICO DE VALENCIA;-0,330722;39,429917;1,639;;1,599;;1069,000;;;;;;;;;;EXCLUSIVAS BAYMAR, S.A.;Suministro a barcos deportivos o de recreo;dm;L-D: 24H;;;
